id,idade,renda,cidade,categoria,nota,feedback
1,39.0,35157.99,Rio de Janeiro,A,6.1,Bom
2,63.0,5500.66,Rio de Janeiro,B,7.2,Bom
3,30.0,20004.05,Vitória,A,7.6,Bom
4,50.0,37078.59,Vitória,B,5.9,Bom
5,69.0,43751.21,Vitória,B,9.5,Bom
6,17.0,39802.24,Rio de Janeiro,B,8.8,Bom
7,23.0,17308.95,Rio de Janeiro,A,9.5,Bom
8,78.0,8930.88,Vitória,B,5.3,Bom
9,53.0,20960.27,São Paulo,A,6.8,Bom
10,72.0,22820.2,São Paulo,A,7.8,Bom
11,42.0,35217.04,Vitória,A,6.3,Bom
12,38.0,31173.58,São Paulo,A,5.2,Bom
13,44.0,5635.61,São Paulo,A,8.6,Bom
14,45.0,15452.44,Belo Horizonte,B,9.1,Bom
15,28.0,16677.75,Rio de Janeiro,B,8.6,Bom
16,40.0,5324.22,Rio de Janeiro,B,7.7,Bom
17,47.0,36747.62,Rio de Janeiro,A,6.6,Bom
18,81.0,6881.8,Rio de Janeiro,B,5.4,Bom
19,98.0,1095.78,Belo Horizonte,A,2.6,Bom
20,118.0,627.17,Vitória,A,0.1,Bom
21,41.0,2123.05,Rio de Janeiro,A,6.9,Bom
22,59.0,25967.99,Rio de Janeiro,A,9.9,Bom
23,79.0,34063.67,Rio de Janeiro,Desconhecido,9.1,Desconhecido
24,36.0,22571.51,Vitória,A,6.1,Bom
25,117.0,1415.59,Vitória,A,4.0,Bom
26,79.0,11959.57,Belo Horizonte,B,8.8,Bom
27,29.0,20071.39,Belo Horizonte,B,8.3,Bom
28,31.0,44207.2,Rio de Janeiro,A,8.7,Bom
29,23.0,10674.73,Vitória,B,7.6,Bom
30,48.0,29098.92,São Paulo,B,8.1,Bom
31,39.0,5139.54,Belo Horizonte,B,8.2,Bom
32,23.0,40571.41,Rio de Janeiro,A,9.0,Bom
33,63.0,3298.8,São Paulo,B,8.7,Bom
34,55.0,14448.75,Vitória,B,8.8,Bom
35,48.472966144517436,5676.26,Belo Horizonte,B,6.2,Bom
36,55.0,42620.27,Belo Horizonte,B,9.6,Bom
37,23.0,5062.47,Rio de Janeiro,B,5.4,Bom
38,44.0,11581.78,Belo Horizonte,B,9.3,Bom
39,68.0,36321.12,Vitória,A,9.8,Bom
40,60.0,19579.86,Rio de Janeiro,A,6.7,Bom
41,67.0,6571.54,São Paulo,A,8.5,Bom
42,47.0,21874.03,São Paulo,A,6.4,Bom
43,53.0,39197.89,São Paulo,B,5.6,Bom
44,37.0,44808.48,Belo Horizonte,A,9.2,Bom
45,37.0,9444.07,Belo Horizonte,A,9.8,Bom
46,68.0,23107.47,Belo Horizonte,A,9.0,Bom
47,79.0,17212.96,Vitória,B,6.0,Bom
48,75.0,31566.82,São Paulo,B,8.2,Bom
49,69.0,16504.53,Rio de Janeiro,A,8.2,Bom
50,45.0,34263.88,São Paulo,A,9.0,Bom
51,63.0,9381.49,Rio de Janeiro,A,6.4,Bom
52,27.0,6255.19,Rio de Janeiro,A,9.4,Bom
53,44.0,25532.4,São Paulo,A,5.4,Bom
54,62.0,4276.0,São Paulo,A,9.6,Bom
55,16.0,16759.97,Vitória,A,8.0,Bom
56,19.0,37443.37,São Paulo,A,7.7,Bom
57,73.0,3748.18,Vitória,B,9.3,Bom
58,60.0,21629.45,Vitória,A,9.4,Bom
59,59.0,15589.63,Rio de Janeiro,B,7.6,Bom
60,76.0,21564.41,Rio de Janeiro,A,7.1,Bom
61,61.0,43645.52,Rio de Janeiro,A,5.7,Bom
62,35.0,37834.08,São Paulo,B,7.7,Bom
63,59.0,20974.1,Vitória,A,7.4,Bom
64,44.0,33243.72,Belo Horizonte,B,9.4,Bom
65,17.0,40855.28,Rio de Janeiro,A,5.2,Bom
66,60.0,30138.68,Vitória,A,5.4,Bom
67,75.0,15890.0,Rio de Janeiro,B,6.6,Bom
68,35.0,34467.02,Rio de Janeiro,A,6.6,Bom
69,78.0,39170.89,Belo Horizonte,A,6.8,Bom
70,32.0,29971.09,Vitória,B,7.436634663971703,Desconhecido
71,66.0,26286.56,São Paulo,B,8.2,Bom
72,36.0,44312.61,Vitória,A,5.6,Bom
73,48.472966144517436,4768.99,Rio de Janeiro,A,7.2,Bom
74,73.0,33434.59,São Paulo,B,6.4,Bom
75,56.0,31722.99,São Paulo,A,7.5,Bom
76,44.0,16286.1,Vitória,A,5.9,Bom
77,62.0,22727.42,Vitória,B,9.8,Bom
78,48.0,12817.81,Vitória,B,5.9,Bom
79,37.0,20036.63,Vitória,A,7.1,Bom
80,38.0,5752.06,Belo Horizonte,B,9.1,Bom
81,26.0,43659.55,Vitória,A,7.436634663971703,Desconhecido
82,79.0,23553.43,Belo Horizonte,A,6.5,Bom
83,52.0,23099.0,Rio de Janeiro,B,5.6,Bom
84,28.0,14562.28,São Paulo,B,8.1,Bom
85,69.0,45118.17,São Paulo,B,8.9,Bom
86,66.0,42893.23,Rio de Janeiro,A,6.7,Bom
87,77.0,22829.69,São Paulo,B,6.8,Bom
88,17.0,39719.81,Rio de Janeiro,Desconhecido,5.9,Desconhecido
89,34.0,28708.25,Vitória,A,5.8,Bom
90,36.0,35831.63,Belo Horizonte,A,7.9,Bom
91,49.0,36995.19,Vitória,B,10.0,Bom
92,66.0,3451.82,São Paulo,B,5.9,Bom
93,71.0,24078.88,Vitória,A,6.5,Bom
94,18.0,14545.7,Vitória,A,5.9,Bom
95,56.0,6712.59,Vitória,B,7.8,Bom
96,50.0,44198.73,Rio de Janeiro,A,8.4,Bom
97,37.0,18839.79,Vitória,A,6.0,Bom
98,30.0,43018.6,Rio de Janeiro,B,6.9,Bom
99,61.0,45474.83,Vitória,B,9.4,Bom
100,58.0,26366.65,Vitória,B,7.0,Bom
101,60.0,40945.43,Belo Horizonte,B,8.7,Bom
102,18.0,5168.18,Rio de Janeiro,A,8.9,Bom
103,1.0,84390.13,Belo Horizonte,B,4.0,Bom
104,26.0,9095.56,Vitória,A,9.9,Bom
105,61.0,29951.24,Rio de Janeiro,B,6.5,Bom
106,36.0,24346.88,Vitória,A,8.5,Bom
107,97.0,68474.56,Belo Horizonte,A,2.7,Bom
108,25.0,30385.47,São Paulo,A,7.9,Bom
109,19.0,40437.17,Belo Horizonte,A,9.4,Bom
110,16.0,13060.89,Vitória,B,9.0,Bom
111,78.0,42163.99,Vitória,B,5.7,Bom
112,65.0,14494.23,Vitória,B,6.4,Bom
113,48.0,30420.28,Belo Horizonte,A,7.2,Bom
114,64.0,35858.42,Rio de Janeiro,B,9.1,Bom
115,72.0,45248.78,São Paulo,B,7.7,Bom
116,30.0,34389.87,Rio de Janeiro,A,5.9,Bom
117,51.0,19778.22,São Paulo,B,9.5,Bom
118,32.0,20146.66,Belo Horizonte,A,9.4,Bom
119,53.0,31994.55,Rio de Janeiro,A,6.1,Bom
120,71.0,17038.59,Vitória,B,7.4,Bom
121,73.0,39272.63,São Paulo,B,7.7,Bom
122,33.0,24117.56275705645,Vitória,B,9.8,Desconhecido
123,38.0,13971.75,São Paulo,A,8.6,Bom
124,38.0,24061.24,Rio de Janeiro,B,8.7,Bom
125,63.0,1764.8,Vitória,A,8.7,Bom
126,26.0,3494.7,Rio de Janeiro,A,7.4,Bom
127,82.0,42084.42,Rio de Janeiro,B,7.2,Desconhecido
128,59.0,1806.27,Belo Horizonte,B,6.9,Bom
129,63.0,6714.67,São Paulo,B,5.3,Bom
130,47.0,42195.59,Vitória,B,9.3,Bom
131,29.0,39180.03,Belo Horizonte,A,9.8,Bom
132,68.0,32309.34,Rio de Janeiro,B,7.6,Bom
133,39.0,7240.84,Belo Horizonte,B,7.3,Bom
134,70.0,9295.33,Rio de Janeiro,A,5.6,Bom
135,81.0,21208.09,São Paulo,B,9.5,Desconhecido
136,72.0,16361.9,São Paulo,B,7.2,Bom
137,67.0,45429.84,Rio de Janeiro,A,8.9,Bom
138,21.0,6173.26,São Paulo,A,6.8,Bom
139,25.0,11431.5,Belo Horizonte,B,7.1,Bom
140,47.0,34044.9,Rio de Janeiro,A,9.0,Desconhecido
141,39.0,37773.81,Rio de Janeiro,A,6.0,Bom
142,30.0,1759.05,São Paulo,B,7.9,Bom
143,81.0,32187.94,Belo Horizonte,B,6.4,Bom
144,51.0,46082.49,São Paulo,A,5.4,Bom
145,56.0,3957.25,Belo Horizonte,A,7.436634663971703,Desconhecido
146,18.0,5996.94,Rio de Janeiro,B,5.2,Bom
147,72.0,31180.37,Rio de Janeiro,B,9.9,Bom
148,55.0,41331.44,Rio de Janeiro,A,8.4,Bom
149,74.0,9991.63,Belo Horizonte,A,5.1,Bom
150,60.0,38124.5,Belo Horizonte,A,9.1,Bom
151,28.0,19717.12,Vitória,B,5.8,Bom
152,67.0,27999.99,São Paulo,B,8.5,Bom
153,54.0,43690.62,Rio de Janeiro,B,8.8,Bom
154,16.0,13481.86,Rio de Janeiro,A,7.2,Bom
155,42.0,40476.72,Belo Horizonte,A,8.0,Bom
156,44.0,35390.19,Belo Horizonte,B,7.8,Bom
157,74.0,19363.69,Belo Horizonte,B,5.4,Bom
158,82.0,41175.11,Belo Horizonte,A,7.6,Bom
159,50.0,35684.71,São Paulo,A,5.4,Bom
160,51.0,10827.77,Vitória,B,8.3,Bom
161,81.0,29714.44,Vitória,B,9.9,Bom
162,62.0,26384.99,Rio de Janeiro,A,7.7,Bom
163,81.0,35528.72,Belo Horizonte,B,9.6,Bom
164,66.0,40841.3,Rio de Janeiro,B,6.2,Bom
165,56.0,11604.41,Vitória,A,5.1,Bom
166,31.0,12550.98,Vitória,A,5.9,Bom
167,24.0,46013.71,Vitória,A,6.0,Bom
168,32.0,30484.57,Vitória,A,8.0,Bom
169,76.0,32359.94,Vitória,B,8.6,Bom
170,45.0,15955.47,São Paulo,A,5.1,Bom
171,68.0,23160.6,Rio de Janeiro,A,6.2,Bom
172,78.0,1851.78,Rio de Janeiro,A,8.2,Bom
173,62.0,45385.73,São Paulo,A,8.0,Bom
174,57.0,26383.95,Rio de Janeiro,A,6.2,Bom
175,35.0,15877.66,São Paulo,B,5.4,Bom
176,46.0,1772.3,Vitória,A,9.3,Bom
177,58.0,14106.78,Belo Horizonte,A,8.1,Bom
178,78.0,30766.38,Belo Horizonte,A,5.3,Bom
179,27.0,3485.96,Belo Horizonte,A,9.2,Bom
180,72.0,28749.5,Rio de Janeiro,A,7.6,Bom
181,26.0,45116.09,Belo Horizonte,B,8.6,Bom
182,29.0,38926.93,Vitória,A,9.9,Bom
183,81.0,2842.38,Vitória,A,5.5,Bom
184,39.0,37436.34,São Paulo,A,8.3,Bom
185,17.0,9287.35,Vitória,A,8.4,Bom
186,25.0,27527.91,Vitória,A,5.2,Bom
187,61.0,41543.14,São Paulo,B,6.2,Bom
188,33.0,43270.27,São Paulo,A,6.5,Bom
189,69.0,39691.99,Belo Horizonte,A,9.1,Bom
190,20.0,7944.36,Belo Horizonte,B,8.4,Bom
191,37.0,43387.34,Vitória,Desconhecido,9.2,Desconhecido
192,31.0,30588.68,Vitória,A,6.1,Bom
193,24.0,42772.28,São Paulo,B,7.5,Bom
194,56.0,21867.5,Vitória,A,8.3,Bom
195,18.0,25537.22,São Paulo,B,8.9,Bom
196,48.472966144517436,7472.52,São Paulo,A,9.8,Bom
197,24.0,6197.2,Belo Horizonte,B,8.4,Bom
198,60.0,12141.7,Rio de Janeiro,A,6.3,Bom
199,54.0,45270.57,Rio de Janeiro,B,6.6,Bom
200,31.0,41919.13,Rio de Janeiro,B,7.6,Bom
201,76.0,14710.34,Vitória,B,9.2,Bom
202,24.0,13536.79,São Paulo,B,6.4,Bom
203,27.0,22853.95,Rio de Janeiro,B,9.3,Bom
204,21.0,34390.62,Vitória,A,8.1,Bom
205,57.0,42991.23,São Paulo,B,9.8,Bom
206,63.0,32855.51,Rio de Janeiro,A,7.2,Bom
