id,idade,renda,cidade,categoria,nota,feedback
1,47,19142.87,Rio de Janeiro,A,6.7,Bom
2,71,12223.92,Belo Horizonte,B,5.2,Bom
3,63,30367.01,São Paulo,B,7.7,Bom
4,86,1302.5,São Paulo,A,4.0,Bom
5,26,25154.53,Belo Horizonte,A,6.9,Bom
6,45,35983.35,Vitória,A,6.5,Bom
7,53,2330.22,Rio de Janeiro,,8.3,
8,58,6771.96,Belo Horizonte,A,5.8,Bom
9,21,19197.31,Rio de Janeiro,B,9.5,Bom
10,,26861.02,Rio de Janeiro,A,8.9,Bom
11,71,34702.4,Vitória,A,7.2,Bom
12,61,14818.07,Belo Horizonte,B,7.8,Bom
13,78,37558.61,Rio de Janeiro,A,5.7,Bom
14,37,37100.61,São Paulo,B,8.9,Bom
15,40,3376.35,São Paulo,B,6.2,Bom
16,60,3581.88,Rio de Janeiro,A,6.0,Bom
17,65,20423.85,Vitória,A,9.4,Bom
18,37,2157.68,Vitória,A,9.6,Bom
19,64,27196.09,Belo Horizonte,B,6.3,Bom
20,23,13377.12,Vitória,A,5.8,Bom
21,17,13672.56,Vitória,B,6.6,Bom
22,74,34922.7,São Paulo,A,5.3,Bom
23,56,2143.91,Belo Horizonte,A,7.5,Bom
24,24,4199.37,Belo Horizonte,A,9.3,Bom
25,59,22719.64,Vitória,B,5.6,Bom
26,74,32187.49,São Paulo,B,7.5,Bom
27,69,46176.78,Vitória,A,7.9,Bom
28,46,44507.82,Vitória,B,7.7,Bom
29,22,31478.45,São Paulo,B,5.0,Bom
30,50,24089.61,Vitória,B,5.5,Bom
31,28,34884.37,Vitória,B,,
32,71,14647.48,São Paulo,B,8.3,Bom
33,81,23790.36,Belo Horizonte,B,8.6,Bom
34,65,45232.6,Belo Horizonte,A,7.9,Bom
35,33,40213.24,São Paulo,B,9.6,Bom
36,73,10639.55,Rio de Janeiro,A,6.9,Bom
37,21,18776.12,Belo Horizonte,B,9.6,Bom
38,67,41188.17,Vitória,B,7.1,Bom
39,23,37514.02,Rio de Janeiro,B,9.7,Bom
40,24,23284.32,São Paulo,A,6.1,Bom
41,50,10077.7,Rio de Janeiro,B,6.2,Bom
42,81,23724.27,Vitória,B,7.1,Bom
43,81,1764.4,São Paulo,B,7.6,Bom
44,16,16801.03,São Paulo,B,7.2,Bom
45,22,41657.23,Rio de Janeiro,B,9.9,Bom
46,51,18368.02,Belo Horizonte,A,5.8,Bom
47,32,46247.57,Belo Horizonte,B,6.8,Bom
48,69,24020.45,Belo Horizonte,A,6.5,Bom
49,55,2893.65,Belo Horizonte,A,7.6,Bom
50,53,21188.13,São Paulo,B,7.9,Bom
51,63,35824.34,Rio de Janeiro,B,6.0,Bom
52,52,16965.3,São Paulo,A,5.5,Bom
53,54,25508.2,Belo Horizonte,B,5.9,Bom
54,74,45725.59,Belo Horizonte,A,6.9,Bom
55,33,36861.71,Rio de Janeiro,B,5.6,Bom
56,53,10949.21,Vitória,B,5.7,Bom
57,25,3784.98,Vitória,B,8.6,Bom
58,64,40223.91,São Paulo,A,5.1,Bom
59,71,15627.34,Rio de Janeiro,A,6.1,Bom
60,69,18856.78,São Paulo,A,6.7,Bom
61,65,26953.53,Belo Horizonte,B,8.3,Bom
62,51,9374.99,Vitória,A,5.4,Bom
