id,idade,renda,cidade,categoria,nota,feedback
1,39,6341.49,Rio de Janeiro,B,7.8,Bom
2,27,9458.67,Rio de Janeiro,B,7.5,Bom
3,39,24620.36,Rio de Janeiro,B,9.5,Bom
4,58,31624.95,Vitória,B,9.3,Bom
5,49,30689.73,Belo Horizonte,A,6.7,Bom
6,17,16824.08,Vitória,B,8.3,Bom
7,19,35971.94,Vitória,B,5.8,Bom
8,26,10836.06,Belo Horizonte,A,9.0,Bom
9,44,20682.81,Vitória,B,7.8,Bom
10,28,39711.25,Rio de Janeiro,B,8.6,Bom
11,25,29793.35,São Paulo,A,5.5,Bom
12,35,44769.11,Belo Horizonte,B,8.6,Bom
13,82,36605.49,Vitória,B,5.2,Bom
14,54,9854.49,Rio de Janeiro,B,7.3,Bom
15,52,35466.72,Belo Horizonte,B,9.3,Bom
16,52,28577.24,Vitória,B,7.4,Bom
17,60,41482.35,Belo Horizonte,A,6.1,Bom
18,80,35720.69,Rio de Janeiro,A,5.4,Bom
19,51,44295.02,São Paulo,B,8.6,Bom
20,21,25911.63,Belo Horizonte,B,7.1,Bom
21,57,37424.96,Rio de Janeiro,A,8.6,Bom
22,78,39757.27,Belo Horizonte,B,7.0,Bom
23,74,45580.79,São Paulo,B,7.5,Bom
24,77,34996.38,Vitória,A,7.2,Bom
25,71,40518.88,Rio de Janeiro,A,5.0,Bom
26,29,41449.05,São Paulo,B,9.6,Bom
27,32,24764.18,Rio de Janeiro,B,6.5,Bom
28,62,39674.42,Vitória,B,7.9,Bom
29,17,39778.97,Rio de Janeiro,A,5.2,Bom
30,56,17181.64,São Paulo,A,6.3,Bom
31,34,18888.38,São Paulo,A,6.8,Bom
32,69,21794.54,São Paulo,B,9.3,Bom
33,49,17557.8,São Paulo,B,9.5,Bom
34,57,30373.07,Vitória,B,9.3,Bom
35,68,31818.51,Rio de Janeiro,A,5.7,Bom
36,31,7266.33,São Paulo,A,7.4,Bom
37,57,43022.07,Vitória,B,7.4,Bom
38,60,40151.43,Belo Horizonte,B,9.5,Bom
39,56,8749.81,São Paulo,B,9.8,Bom
40,19,32394.81,Vitória,B,9.8,Bom
41,26,14169.46,Vitória,B,5.8,Bom
42,71,28027.81,Vitória,A,7.1,Bom
43,58,22517.93,Belo Horizonte,A,9.6,Bom
44,56,27124.1,São Paulo,B,7.8,Bom
45,79,4824.49,Belo Horizonte,A,6.5,Bom
46,34,5377.7,São Paulo,A,7.0,Bom
47,43,29344.21,Vitória,A,5.7,Bom
48,47,23949.15,Rio de Janeiro,A,7.5,Bom
49,67,35012.99,São Paulo,A,8.7,Bom
50,18,25483.53,Vitória,B,6.0,Bom
51,17,31127.97,Vitória,A,6.3,Bom
52,26,13880.29,Vitória,B,9.9,Bom
53,57,41661.17,Rio de Janeiro,B,8.3,Bom
54,29,10881.64,Vitória,A,8.2,Bom
55,64,30378.5,São Paulo,A,5.4,Bom
56,72,31379.5,Belo Horizonte,B,7.9,Bom
57,32,32056.66,Vitória,A,8.8,Bom
58,62,31419.81,Belo Horizonte,B,5.4,Bom
59,58,31016.73,Vitória,A,5.2,Bom
60,35,12425.03,Vitória,B,5.5,Bom
61,33,26034.84,Vitória,A,8.8,Bom
62,80,3826.98,Rio de Janeiro,A,5.6,Bom
63,79,31540.02,Vitória,A,9.9,Bom
64,57,13380.91,Vitória,B,8.6,Bom
65,54,42567.59,Belo Horizonte,A,9.2,Bom
66,50,15220.36,Vitória,B,9.3,Bom
67,16,42321.76,Rio de Janeiro,B,5.8,Bom
68,57,40895.14,Vitória,B,7.0,Bom
69,43,4450.16,Belo Horizonte,B,8.0,Bom
70,33,20246.19,Rio de Janeiro,A,8.3,Bom
71,33,42416.99,Belo Horizonte,A,9.4,Bom
72,67,11041.77,São Paulo,A,7.8,Bom
73,41,38451.21,São Paulo,A,7.3,Bom
74,48,10114.51,Rio de Janeiro,B,6.7,Bom
75,48,43430.71,Vitória,B,6.9,Bom
76,55,9278.44,Rio de Janeiro,A,6.6,Bom
77,64,19141.17,Rio de Janeiro,A,5.7,Bom
78,79,42741.39,Vitória,A,7.2,Bom
79,80,22346.46,Belo Horizonte,A,5.0,Bom
80,20,31262.02,Vitória,B,6.9,Bom
81,24,16404.21,São Paulo,A,8.2,Bom
82,16,17597.3,Rio de Janeiro,B,6.7,Bom
83,75,1616.41,São Paulo,A,7.6,Bom
84,57,29564.78,Belo Horizonte,A,5.9,Bom
85,56,39790.77,São Paulo,A,8.4,Bom
86,53,1836.18,Belo Horizonte,A,9.1,Bom
87,56,18226.66,Rio de Janeiro,A,8.6,Bom
88,54,12997.16,Belo Horizonte,A,5.0,Bom
89,76,44768.65,São Paulo,B,8.2,Bom
90,31,32491.68,Rio de Janeiro,B,9.8,Bom
91,72,11503.38,Belo Horizonte,A,5.9,Bom
92,33,23790.72,São Paulo,A,9.5,Bom
93,26,42915.64,Vitória,A,5.8,Bom
94,77,43360.23,Belo Horizonte,B,5.8,Bom
95,20,29775.88,Belo Horizonte,A,7.9,Bom
96,43,37503.77,São Paulo,A,5.6,Bom
97,65,25143.59,Belo Horizonte,A,8.4,Bom
98,49,42294.21,São Paulo,A,8.4,Bom
99,16,3455.97,São Paulo,B,9.7,Bom
100,40,21338.06,Belo Horizonte,B,7.9,Bom
101,27,33609.36,Vitória,A,8.3,Bom
102,29,30018.15,Rio de Janeiro,A,8.7,Bom
103,81,25313.95,São Paulo,B,7.5,Bom
104,54,43975.53,Belo Horizonte,A,7.0,Bom
105,54,2067.75,Vitória,A,8.4,Bom
106,54,13087.57,Vitória,A,7.1,Bom
107,79,32592.47,São Paulo,A,7.0,Bom
108,82,43515.85,Belo Horizonte,B,6.4,Bom
109,53,27874.58,Vitória,B,8.2,Bom
110,33,37081.06,Vitória,B,7.0,Bom
111,25,34908.14,Belo Horizonte,A,5.5,Bom
112,46,17138.7,Belo Horizonte,B,7.8,Bom
113,61,38355.06,Vitória,B,5.1,Bom
114,50,30415.02,Belo Horizonte,B,7.8,Bom
115,57,9515.78,Vitória,A,6.6,Bom
116,50,32609.03,Belo Horizonte,B,8.1,Bom
117,81,21035.14,São Paulo,A,8.2,Bom
118,29,9852.46,Vitória,A,5.6,Bom
119,36,1915.67,Belo Horizonte,B,7.9,Bom
120,40,44323.41,Rio de Janeiro,A,6.7,Bom
121,16,12059.88,Vitória,A,9.0,Bom
122,24,31530.4,Belo Horizonte,A,9.7,Bom
123,32,13222.44,Rio de Janeiro,B,9.2,Bom
124,52,23710.08,São Paulo,A,7.1,Bom
125,74,10469.28,Vitória,A,9.5,Bom
126,27,31854.13,Belo Horizonte,A,5.7,Bom
127,62,40799.66,Rio de Janeiro,B,7.1,Bom
