id,idade,renda,cidade,categoria,nota,feedback
1,39,35157.99,Rio de Janeiro,A,6.1,Bom
2,63,5500.66,Rio de Janeiro,B,7.2,Bom
3,30,20004.05,Vitória,A,7.6,Bom
4,50,37078.59,Vitória,B,5.9,Bom
5,69,43751.21,Vitória,B,9.5,Bom
6,17,39802.24,Rio de Janeiro,B,8.8,Bom
7,23,17308.95,Rio de Janeiro,A,9.5,Bom
8,78,8930.88,Vitória,B,5.3,Bom
9,53,20960.27,São Paulo,A,6.8,Bom
10,72,22820.2,São Paulo,A,7.8,Bom
11,42,35217.04,Vitória,A,6.3,Bom
12,38,31173.58,São Paulo,A,5.2,Bom
13,44,5635.61,São Paulo,A,8.6,Bom
14,45,15452.44,Belo Horizonte,B,9.1,Bom
15,28,16677.75,Rio de Janeiro,B,8.6,Bom
16,40,5324.22,Rio de Janeiro,B,7.7,Bom
17,47,36747.62,Rio de Janeiro,A,6.6,Bom
18,81,6881.8,Rio de Janeiro,B,5.4,Bom
19,98,1095.78,Belo Horizonte,A,2.6,Bom
20,118,627.17,Vitória,A,0.1,Bom
21,41,2123.05,Rio de Janeiro,A,6.9,Bom
22,59,25967.99,Rio de Janeiro,A,9.9,Bom
23,79,34063.67,Rio de Janeiro,,9.1,
24,36,22571.51,Vitória,A,6.1,Bom
25,117,1415.59,Vitória,A,4.0,Bom
26,79,11959.57,Belo Horizonte,B,8.8,Bom
27,29,20071.39,Belo Horizonte,B,8.3,Bom
28,31,44207.2,Rio de Janeiro,A,8.7,Bom
29,23,10674.73,Vitória,B,7.6,Bom
30,48,29098.92,São Paulo,B,8.1,Bom
31,39,5139.54,Belo Horizonte,B,8.2,Bom
32,23,40571.41,Rio de Janeiro,A,9.0,Bom
33,63,3298.8,São Paulo,B,8.7,Bom
34,55,14448.75,Vitória,B,8.8,Bom
35,,5676.26,Belo Horizonte,B,6.2,Bom
36,55,42620.27,Belo Horizonte,B,9.6,Bom
37,23,5062.47,Rio de Janeiro,B,5.4,Bom
38,44,11581.78,Belo Horizonte,B,9.3,Bom
39,68,36321.12,Vitória,A,9.8,Bom
40,60,19579.86,Rio de Janeiro,A,6.7,Bom
41,67,6571.54,São Paulo,A,8.5,Bom
42,47,21874.03,São Paulo,A,6.4,Bom
43,53,39197.89,São Paulo,B,5.6,Bom
44,37,44808.48,Belo Horizonte,A,9.2,Bom
45,37,9444.07,Belo Horizonte,A,9.8,Bom
46,68,23107.47,Belo Horizonte,A,9.0,Bom
47,79,17212.96,Vitória,B,6.0,Bom
48,75,31566.82,São Paulo,B,8.2,Bom
49,69,16504.53,Rio de Janeiro,A,8.2,Bom
50,45,34263.88,São Paulo,A,9.0,Bom
51,63,9381.49,Rio de Janeiro,A,6.4,Bom
52,27,6255.19,Rio de Janeiro,A,9.4,Bom
53,44,25532.4,São Paulo,A,5.4,Bom
54,62,4276.0,São Paulo,A,9.6,Bom
55,16,16759.97,Vitória,A,8.0,Bom
56,19,37443.37,São Paulo,A,7.7,Bom
57,73,3748.18,Vitória,B,9.3,Bom
58,60,21629.45,Vitória,A,9.4,Bom
59,59,15589.63,Rio de Janeiro,B,7.6,Bom
60,76,21564.41,Rio de Janeiro,A,7.1,Bom
61,61,43645.52,Rio de Janeiro,A,5.7,Bom
62,35,37834.08,São Paulo,B,7.7,Bom
63,59,20974.1,Vitória,A,7.4,Bom
64,44,33243.72,Belo Horizonte,B,9.4,Bom
65,17,40855.28,Rio de Janeiro,A,5.2,Bom
66,60,30138.68,Vitória,A,5.4,Bom
67,75,15890.0,Rio de Janeiro,B,6.6,Bom
68,35,34467.02,Rio de Janeiro,A,6.6,Bom
69,78,39170.89,Belo Horizonte,A,6.8,Bom
70,32,29971.09,Vitória,B,,
71,66,26286.56,São Paulo,B,8.2,Bom
72,36,44312.61,Vitória,A,5.6,Bom
73,,4768.99,Rio de Janeiro,A,7.2,Bom
74,73,33434.59,São Paulo,B,6.4,Bom
75,56,31722.99,São Paulo,A,7.5,Bom
76,44,16286.1,Vitória,A,5.9,Bom
77,62,22727.42,Vitória,B,9.8,Bom
78,48,12817.81,Vitória,B,5.9,Bom
79,37,20036.63,Vitória,A,7.1,Bom
80,38,5752.06,Belo Horizonte,B,9.1,Bom
81,26,43659.55,Vitória,A,,
82,79,23553.43,Belo Horizonte,A,6.5,Bom
83,52,23099.0,Rio de Janeiro,B,5.6,Bom
84,28,14562.28,São Paulo,B,8.1,Bom
85,69,45118.17,São Paulo,B,8.9,Bom
86,66,42893.23,Rio de Janeiro,A,6.7,Bom
87,77,22829.69,São Paulo,B,6.8,Bom
88,17,39719.81,Rio de Janeiro,,5.9,
89,34,28708.25,Vitória,A,5.8,Bom
90,36,35831.63,Belo Horizonte,A,7.9,Bom
91,49,36995.19,Vitória,B,10.0,Bom
92,66,3451.82,São Paulo,B,5.9,Bom
93,71,24078.88,Vitória,A,6.5,Bom
94,18,14545.7,Vitória,A,5.9,Bom
95,56,6712.59,Vitória,B,7.8,Bom
96,50,44198.73,Rio de Janeiro,A,8.4,Bom
97,37,18839.79,Vitória,A,6.0,Bom
98,30,43018.6,Rio de Janeiro,B,6.9,Bom
99,61,45474.83,Vitória,B,9.4,Bom
100,58,26366.65,Vitória,B,7.0,Bom
101,60,40945.43,Belo Horizonte,B,8.7,Bom
102,18,5168.18,Rio de Janeiro,A,8.9,Bom
103,1,84390.13,Belo Horizonte,B,4.0,Bom
104,26,9095.56,Vitória,A,9.9,Bom
105,61,29951.24,Rio de Janeiro,B,6.5,Bom
106,36,24346.88,Vitória,A,8.5,Bom
107,97,68474.56,Belo Horizonte,A,2.7,Bom
108,25,30385.47,São Paulo,A,7.9,Bom
109,19,40437.17,Belo Horizonte,A,9.4,Bom
110,16,13060.89,Vitória,B,9.0,Bom
111,78,42163.99,Vitória,B,5.7,Bom
112,65,14494.23,Vitória,B,6.4,Bom
113,48,30420.28,Belo Horizonte,A,7.2,Bom
114,64,35858.42,Rio de Janeiro,B,9.1,Bom
115,72,45248.78,São Paulo,B,7.7,Bom
116,30,34389.87,Rio de Janeiro,A,5.9,Bom
117,51,19778.22,São Paulo,B,9.5,Bom
118,32,20146.66,Belo Horizonte,A,9.4,Bom
119,53,31994.55,Rio de Janeiro,A,6.1,Bom
120,71,17038.59,Vitória,B,7.4,Bom
121,73,39272.63,São Paulo,B,7.7,Bom
122,33,,Vitória,B,9.8,
123,38,13971.75,São Paulo,A,8.6,Bom
124,38,24061.24,Rio de Janeiro,B,8.7,Bom
125,63,1764.8,Vitória,A,8.7,Bom
126,26,3494.7,Rio de Janeiro,A,7.4,Bom
