id,idade,renda,cidade,categoria,nota,feedback
1,55,16471.1,Vitória,B,7.3,Bom
2,57,10268.79,São Paulo,A,7.4,Bom
3,23,13514.31,Belo Horizonte,B,8.3,Bom
4,24,17216.48,Belo Horizonte,A,7.3,Bom
5,75,9338.54,Vitória,B,5.3,Bom
6,80,3860.75,São Paulo,B,7.2,Bom
7,26,8809.07,São Paulo,A,8.0,Bom
8,57,23955.32,Rio de Janeiro,B,9.9,Bom
9,17,18076.31,Belo Horizonte,B,6.0,Bom
10,58,29597.56,Belo Horizonte,A,6.7,Bom
11,20,7370.4,Rio de Janeiro,A,8.5,Bom
12,35,1735.42,Belo Horizonte,B,8.1,Bom
13,48,29377.86,Belo Horizonte,B,9.0,Bom
14,18,1769.56,São Paulo,A,5.7,Bom
15,24,14597.83,Rio de Janeiro,B,7.4,Bom
16,26,44322.93,Rio de Janeiro,B,5.2,Bom
17,18,41344.7,Vitória,B,5.2,Bom
18,53,29523.41,São Paulo,A,10.0,Bom
19,50,40675.49,São Paulo,A,9.6,Bom
20,78,33800.38,Rio de Janeiro,A,8.9,Bom
21,57,36762.19,Belo Horizonte,B,5.4,Bom
22,42,11431.27,São Paulo,B,7.8,Bom
23,30,29719.0,Belo Horizonte,B,5.7,Bom
24,46,24655.73,Rio de Janeiro,B,7.1,Bom
25,80,37364.67,Rio de Janeiro,A,9.1,Bom
26,33,2011.89,Rio de Janeiro,A,6.1,Bom
27,72,35201.34,Vitória,B,6.6,Bom
28,64,24327.67,Vitória,A,6.7,Bom
29,45,44985.7,São Paulo,A,8.7,Bom
30,69,25363.39,Vitória,B,9.7,Bom
31,30,39178.5,Belo Horizonte,B,7.2,Bom
32,62,44817.14,Rio de Janeiro,B,5.4,Bom
33,66,11475.06,Belo Horizonte,A,6.7,Bom
34,44,44793.85,São Paulo,B,6.0,Bom
35,26,20579.55,Rio de Janeiro,B,9.7,Bom
36,42,44141.1,São Paulo,B,7.7,Bom
37,28,26323.41,Vitória,A,6.7,Bom
38,81,27264.76,Belo Horizonte,A,5.8,Bom
39,50,13920.63,Vitória,A,9.9,Bom
40,10,88207.98,Rio de Janeiro,B,4.3,Bom
41,53,31657.28,Rio de Janeiro,A,9.7,Bom
42,63,35965.62,Vitória,B,9.3,Bom
43,31,45452.65,Belo Horizonte,A,5.4,Bom
44,41,1958.99,São Paulo,A,8.5,Bom
45,33,45920.88,São Paulo,B,6.4,Bom
46,77,17314.38,Rio de Janeiro,B,5.3,Bom
47,52,20489.96,Rio de Janeiro,A,6.0,Bom
48,62,22079.15,Belo Horizonte,B,8.6,Bom
49,44,42517.84,Rio de Janeiro,B,8.4,Bom
50,24,10790.38,São Paulo,B,5.6,Bom
51,53,31139.43,Rio de Janeiro,B,8.7,Bom
52,56,41748.5,São Paulo,B,7.9,Bom
53,78,42172.38,São Paulo,A,7.9,Bom
54,81,8537.01,Vitória,A,6.8,Bom
55,38,46150.43,São Paulo,A,5.6,Bom
56,44,29995.63,Vitória,A,5.9,Bom
57,39,6248.84,São Paulo,A,7.9,Bom
58,21,39924.59,Vitória,B,9.4,Bom
59,47,43480.12,Belo Horizonte,A,6.7,Bom
60,50,24926.69,Rio de Janeiro,B,6.3,Bom
61,62,20119.86,Belo Horizonte,B,6.2,Bom
62,72,17348.91,São Paulo,A,8.5,Bom
63,33,41994.0,Vitória,B,5.8,Bom
64,34,45150.14,Vitória,A,7.1,Bom
65,65,27949.0,Belo Horizonte,A,7.5,Bom
66,58,8105.88,Rio de Janeiro,A,6.2,Bom
67,62,19843.14,Belo Horizonte,A,9.4,Bom
68,73,9808.59,Vitória,B,6.6,Bom
69,17,32276.41,Vitória,A,9.8,Bom
70,73,22594.42,Rio de Janeiro,B,8.8,Bom
71,77,2584.78,Rio de Janeiro,A,8.2,Bom
72,78,34985.19,Vitória,A,8.3,Bom
73,75,42683.34,Vitória,B,7.0,Bom
74,33,22952.66,Rio de Janeiro,B,7.7,Bom
75,51,18020.15,Belo Horizonte,A,8.1,Bom
76,38,28124.58,Rio de Janeiro,B,8.4,Bom
77,16,14817.69,Rio de Janeiro,A,8.4,Bom
78,59,40098.67,Belo Horizonte,B,6.7,Bom
79,27,34862.66,Rio de Janeiro,A,9.0,Bom
80,73,21645.8,Rio de Janeiro,A,5.1,Bom
81,24,6253.46,Belo Horizonte,A,5.3,Bom
82,71,34141.57,Belo Horizonte,B,6.8,Bom
83,49,4654.43,Rio de Janeiro,B,9.0,Bom
84,46,8839.19,São Paulo,A,5.3,Bom
85,19,19481.9,Vitória,A,5.1,Bom
86,25,29873.97,Rio de Janeiro,B,9.9,Bom
87,75,21028.2,Vitória,A,6.2,Bom
88,41,20719.93,Rio de Janeiro,A,5.3,Bom
89,32,12825.12,Vitória,B,5.0,Bom
90,76,25267.38,Vitória,A,5.3,Bom
