id,idade,renda,nota,cidade_Belo Horizonte,cidade_Desconhecido,cidade_Rio de Janeiro,cidade_São Paulo,cidade_Vitória,categoria_A,categoria_B,feedback_Bom,feedback_Desconhecido,feedback_Regular,feedback_Ruim
1,35.0,11669.8,0.3,False,False,True,False,False,False,True,False,False,True,False
2,28.0,12823.74,7.4,True,False,False,False,False,True,False,False,False,True,False
3,56.0,3537.12,0.6,False,False,False,True,False,False,True,False,False,True,False
4,19.0,4960.32,1.5,False,False,False,True,False,False,True,True,False,False,False
5,69.0,1645.34,3.7,True,False,False,False,False,False,True,False,False,False,True
6,16.0,2149.28,8.4,False,False,False,True,False,True,False,True,False,False,False
7,51.0,11128.0,2.4,False,False,True,False,False,False,True,False,False,False,True
8,58.0,7154.17,3.0,False,False,False,True,False,False,True,True,False,False,False
9,59.0,7022.41,7.3,False,False,False,False,True,False,True,False,False,True,False
10,63.0,12372.62,4.5,False,False,False,True,False,True,False,True,False,False,False
11,25.0,7355.96,10.0,False,False,True,False,False,False,True,False,False,True,False
12,37.0,1503.87,4.3,True,False,False,False,False,True,False,False,False,True,False
13,51.0,10711.21,7.9,True,False,False,False,False,False,True,False,False,False,True
14,44.0,2720.61,5.2,False,False,False,False,True,True,False,False,False,False,True
15,26.0,8249.12,0.3,True,False,False,False,False,False,True,True,False,False,False
16,50.0,8088.76,7.0,True,False,False,False,False,True,False,False,False,True,False
17,31.0,8033.85,5.9,False,False,False,False,True,True,False,False,False,False,True
18,24.0,11239.36,5.2,False,False,False,False,True,True,False,False,True,False,False
19,44.0,1457.56,2.8,False,False,False,True,False,False,True,False,False,True,False
20,44.0,9790.29,2.9,True,False,False,False,False,True,False,True,False,False,False
21,25.0,7054.56,4.8,True,False,False,False,False,False,True,True,False,False,False
22,52.0,11988.45,9.5,False,False,False,True,False,False,True,True,False,False,False
23,19.0,2648.12,0.6,False,False,False,False,True,True,False,False,False,False,True
24,45.0,9515.07,7.9,False,False,False,True,False,True,False,False,False,True,False
25,16.0,11376.23,9.2,False,False,True,False,False,True,False,True,False,False,False
26,63.0,8818.98,4.6,True,False,False,False,False,True,False,False,False,True,False
27,22.0,12438.51,5.6,False,False,False,False,True,True,False,True,False,False,False
28,49.0,10538.35,1.3,True,False,False,False,False,True,False,False,False,False,True
29,65.0,12344.18,9.0,False,False,False,True,False,True,False,True,False,False,False
30,48.0,2636.75,1.4,True,False,False,False,False,True,False,False,False,False,True
31,48.0,5597.03,4.4,False,False,False,False,True,True,False,False,False,False,True
32,44.0,5269.32,3.7,False,False,False,False,True,False,True,False,False,True,False
33,27.0,12448.74,5.5,False,False,False,False,True,False,True,False,False,True,False
34,61.0,2045.43,6.1,False,False,True,False,False,False,True,True,False,False,False
35,68.0,6231.15,1.0,True,False,False,False,False,False,True,False,False,False,True
36,39.0,12270.34,0.7,True,False,False,False,False,False,True,False,False,True,False
37,54.0,7005.56,6.3,True,False,False,False,False,False,True,True,False,False,False
38,63.0,3531.35,1.6,True,False,False,False,False,True,False,True,False,False,False
39,43.0,10774.44,4.2,False,False,False,False,True,False,True,True,False,False,False
40,35.0,4796.26,2.1,True,False,False,False,False,False,True,False,False,True,False
41,56.0,4969.06,6.2,False,False,True,False,False,False,True,False,False,True,False
42,38.0,3096.49,4.6,False,False,False,False,True,True,False,True,False,False,False
43,64.0,8809.17,7.2,False,False,False,False,True,True,False,False,False,True,False
44,19.0,2316.58,8.5,False,False,False,True,False,True,False,False,True,False,False
45,54.0,8880.9,9.1,True,False,False,False,False,False,True,True,False,False,False
46,16.0,6505.22,3.0,False,False,False,True,False,True,False,False,False,False,True
47,66.0,3506.67,2.0,False,False,False,False,True,False,True,False,False,True,False
48,31.0,2453.46,6.3,False,False,False,False,True,False,True,False,False,True,False
49,23.0,2035.51,8.8,False,False,False,True,False,True,False,False,False,False,True
50,38.0,2940.3,0.8,False,False,False,True,False,False,True,True,False,False,False
51,60.0,9553.76,9.1,False,False,False,True,False,False,True,True,False,False,False
52,36.0,9617.62,8.6,False,False,True,False,False,True,False,True,False,False,False
53,37.0,12352.14,5.5,False,False,True,False,False,False,True,True,False,False,False
54,36.0,2365.33,9.5,False,False,False,False,True,False,True,False,False,False,True
55,41.0,4144.17,4.1,True,False,False,False,False,True,False,False,False,True,False
56,67.0,2433.1,3.6,True,False,False,False,False,False,True,False,False,False,True
57,43.0,4673.02,7.0,False,False,False,False,True,False,True,False,False,True,False
58,24.0,5779.23,1.1,False,False,False,True,False,True,False,False,False,True,False
59,21.0,3506.86,0.0,False,False,True,False,False,True,False,True,False,False,False
60,52.0,11438.65,4.7,True,False,False,False,False,False,True,False,False,True,False
61,50.0,9139.33,7.1,False,True,False,False,False,False,True,False,False,False,True
62,24.0,1628.84,6.1,False,False,False,False,True,True,False,False,False,False,True
63,19.0,11162.01,7.4,False,False,True,False,False,True,False,False,False,False,True
64,32.0,7200.74,5.6,False,False,False,True,False,False,True,False,False,False,True
65,65.0,6397.97,0.1,False,False,True,False,False,True,False,False,False,True,False
66,27.0,7149.65,0.2,False,False,False,True,False,True,False,False,False,False,True
67,68.0,11790.72,1.8,True,False,False,False,False,True,False,False,False,False,True
68,50.0,4080.86,7.2,False,False,False,False,True,True,False,False,False,False,True
69,28.0,2246.04,4.8,False,False,True,False,False,False,True,False,False,True,False
70,53.0,10505.22,4.3,True,False,False,False,False,True,False,False,False,True,False
71,32.0,10394.56,7.7,False,False,False,True,False,True,False,False,False,False,True
72,70.0,6737.84,8.1,False,False,True,False,False,False,True,False,False,False,True
73,20.0,10577.75,8.1,True,False,False,False,False,True,False,True,False,False,False
74,28.0,6568.23,5.5,True,False,False,False,False,False,True,False,False,False,True
75,18.0,7200.74,5.5,False,False,False,False,True,False,True,True,False,False,False
76,22.0,3978.63,7.6,True,False,False,False,False,False,True,False,False,False,True
77,34.0,11821.7,6.4,False,False,False,True,False,False,True,False,False,False,True
78,25.0,7471.28,9.3,False,False,False,False,True,False,True,False,False,False,True
79,54.0,7548.09,2.2,False,False,False,True,False,False,True,False,False,True,False
80,38.0,3832.61,6.1,False,False,False,True,False,False,True,False,False,False,True
81,16.0,11491.96,9.2,False,False,False,False,True,False,True,False,False,True,False
82,55.0,7111.28,1.7,False,False,False,True,False,False,True,False,False,True,False
83,62.0,11623.12,3.7,False,False,False,True,False,False,True,False,False,True,False
84,26.0,7549.36,7.1,True,False,False,False,False,False,True,False,False,False,True
85,55.0,1509.41,0.8,False,False,True,False,False,False,False,False,False,False,True
86,68.0,7473.9,5.0,False,False,True,False,False,False,True,False,False,True,False
87,52.0,3838.56,8.8,True,False,False,False,False,True,False,False,False,True,False
88,42.0,1907.9,9.9,True,False,False,False,False,False,True,True,False,False,False
89,18.0,3594.48,4.5,True,False,False,False,False,False,True,True,False,False,False
90,33.0,10258.65,9.3,False,False,False,False,True,True,False,False,False,True,False
91,55.0,2514.16,7.7,False,False,True,False,False,False,True,True,False,False,False
92,28.0,3371.91,8.9,False,False,False,True,False,False,True,False,False,False,True
93,19.0,2499.11,9.6,False,False,True,False,False,False,True,True,False,False,False
94,33.0,9707.18,7.0,True,False,False,False,False,True,False,True,False,False,False
95,42.0,2985.22,3.8,False,False,False,False,True,False,True,False,False,False,True
96,18.0,4381.52,4.1,True,False,False,False,False,True,False,False,False,True,False
97,63.0,1954.7,6.8,False,False,True,False,False,False,True,True,False,False,False
98,47.0,11265.94,6.8,False,False,False,True,False,False,True,True,False,False,False
99,28.0,8357.24,3.3,False,False,False,True,False,True,False,False,False,True,False
100,41.0,5358.52,8.7,False,False,True,False,False,True,False,False,False,True,False
101,28.0,4023.92,4.3,False,False,True,False,False,True,False,True,False,False,False
102,68.0,6527.04,1.7,True,False,False,False,False,True,False,True,False,False,False
103,17.0,4814.73,7.9,False,False,True,False,False,True,False,False,False,True,False
104,19.0,8898.96,4.1,False,False,False,True,False,True,False,False,False,True,False
105,56.0,10001.67,5.0,True,False,False,False,False,False,True,False,False,False,True
106,56.0,11960.19,7.0,False,False,False,False,True,True,False,False,False,True,False
107,54.0,11186.84,2.4,False,False,True,False,False,False,True,True,False,False,False
108,29.0,6380.8,2.7,True,False,False,False,False,False,True,False,False,False,True
109,65.0,10099.19,5.6,False,False,True,False,False,True,False,False,False,True,False
110,51.0,6167.46,7.9,False,False,True,False,False,False,True,False,False,False,True
111,64.0,7106.82,8.8,False,False,False,True,False,False,True,False,False,True,False
112,42.0,3775.52,7.8,False,False,False,False,True,False,True,False,False,True,False
113,31.0,10435.73,0.7,False,False,False,False,True,False,True,False,False,True,False
114,27.0,9521.27,8.6,False,False,True,False,False,False,True,False,False,True,False
115,19.0,3976.39,0.8,True,False,False,False,False,True,False,True,False,False,False
116,37.0,10797.48,7.7,False,False,True,False,False,True,False,True,False,False,False
117,42.0,12143.72,2.0,False,False,False,True,False,True,False,True,False,False,False
118,40.0,10051.79,2.4,True,False,False,False,False,False,True,True,False,False,False
119,69.0,10058.3,5.4,True,False,False,False,False,False,True,False,False,False,True
120,28.0,8843.53,3.7,True,False,False,False,False,False,True,False,False,False,True
121,36.0,1356.96,7.8,False,False,False,False,True,False,True,False,False,False,True
122,67.0,9878.58,7.2,False,False,False,True,False,True,False,False,True,False,False
123,43.0,4720.09,5.3,False,False,True,False,False,False,True,True,False,False,False
124,56.0,1639.12,6.8,False,False,True,False,False,False,True,False,True,False,False
125,62.0,1467.1,5.8,False,False,False,False,True,True,False,False,False,True,False
126,49.0,4462.49,1.1,False,False,False,False,True,True,False,False,False,True,False
127,36.0,11503.48,1.4,False,False,False,True,False,True,False,False,False,False,True
128,68.0,5089.6,4.3,True,False,False,False,False,True,False,False,False,False,True
129,41.0,12843.6,5.0,False,False,False,True,False,False,True,False,False,False,True
130,50.0,11917.61,2.3,False,False,False,False,True,True,False,True,False,False,False
131,40.0,1913.94,4.0,True,False,False,False,False,False,True,True,False,False,False
132,45.0,3315.57,7.9,True,False,False,False,False,False,True,True,False,False,False
133,31.0,7325.72,6.9,False,False,False,False,True,True,False,False,False,False,True
134,62.0,9756.71,6.2,False,False,True,False,False,False,True,True,False,False,False
135,38.0,4113.5,2.9,False,False,False,True,False,True,False,True,False,False,False
136,35.0,7704.01,7.3,False,False,False,True,False,True,False,False,False,False,True
137,29.0,7420.08,9.2,False,False,True,False,False,False,True,True,False,False,False
138,54.0,5810.28,2.4,False,False,False,True,False,True,False,True,False,False,False
139,52.0,9803.48,9.0,True,False,False,False,False,False,True,False,False,False,True
140,58.0,12803.62,1.2,False,False,False,True,False,False,True,True,False,False,False
141,17.0,11645.44,2.7,False,False,False,True,False,True,False,True,False,False,False
142,52.0,6761.18,9.6,False,False,True,False,False,False,True,False,False,False,True
143,16.0,4138.84,7.9,False,False,False,True,False,True,False,False,False,False,True
144,32.0,5640.85,5.2,False,False,True,False,False,False,True,False,False,True,False
145,64.0,9581.37,1.3,False,False,True,False,False,True,False,True,False,False,False
146,21.0,9356.77,9.9,False,False,False,False,True,False,True,False,False,True,False
147,65.0,7122.04,0.3,False,False,True,False,False,False,True,False,False,False,True
148,31.0,2499.44,9.1,True,False,False,False,False,False,True,False,False,False,True
149,32.0,12317.15,3.7,False,False,False,False,True,False,True,False,False,True,False
150,22.0,9567.92,0.9,False,False,False,True,False,False,True,True,False,False,False
151,39.0,9230.13,1.1,False,False,True,False,False,False,True,True,False,False,False
152,48.0,5749.46,1.7,False,False,False,True,False,True,False,True,False,False,False
153,24.0,2862.79,6.2,False,False,False,False,True,True,False,True,False,False,False
154,17.0,6736.62,9.3,True,False,False,False,False,False,True,False,False,False,True
155,50.0,2025.29,3.9,False,False,False,False,True,True,False,False,False,True,False
156,54.0,4846.13,0.3,False,False,True,False,False,True,False,False,False,False,True
157,26.0,4451.31,7.4,False,False,False,False,True,False,True,False,False,True,False
158,19.0,8981.71,7.8,True,False,False,False,False,False,True,False,False,False,True
159,35.0,6906.99,5.7,False,False,False,True,False,False,True,False,False,False,True
160,25.0,4786.89,2.7,False,False,True,False,False,False,True,True,False,False,False
161,65.0,8569.57,0.8,True,False,False,False,False,False,True,False,False,True,False
162,50.0,4901.26,2.4,False,False,False,True,False,False,True,True,False,False,False
163,68.0,2173.34,0.9,False,False,True,False,False,False,True,True,False,False,False
164,17.0,5935.35,4.3,False,False,False,False,True,False,True,False,False,False,True
